a/c,a/t,c/b,phi,F,Mg
   0.20000,   0.60000,   0.60000,   0.58905,   1.37400,   1.55748
   0.20000,   0.60000,   0.60000,   0.78540,   1.52200,   1.54716
   0.20000,   0.60000,   0.60000,   0.98175,   1.63600,   1.54191
   0.20000,   0.60000,   0.60000,   1.17810,   1.71200,   1.53488
   0.20000,   0.60000,   0.60000,   1.37445,   1.75400,   1.52824
   0.20000,   0.60000,   0.60000,   1.57080,   1.76800,   1.52617
   0.20000,   0.60000,   0.60000,   1.76715,   1.75400,   1.52824
   0.20000,   0.60000,   0.60000,   1.96350,   1.71200,   1.53488
   0.20000,   0.60000,   0.60000,   2.15984,   1.63600,   1.54191
   0.20000,   0.60000,   0.60000,   2.35619,   1.52200,   1.54716
   0.20000,   0.60000,   0.60000,   2.55254,   1.37400,   1.55748
   0.20000,   0.60000,   0.60000,   2.74889,   1.21400,   1.60756
   0.20000,   0.60000,   0.60000,   2.94524,   1.08600,   1.78230
   0.20000,   0.60000,   0.60000,   3.14159,   1.03700,   2.00164
   0.20000,   0.80000,   0.20000,   0.00000,   1.19000,   2.60822
   0.20000,   0.80000,   0.20000,   0.19635,   1.21700,   2.26795
   0.20000,   0.80000,   0.20000,   0.39270,   1.34500,   2.02238
   0.20000,   0.80000,   0.20000,   0.58905,   1.50400,   1.93586
   0.20000,   0.80000,   0.20000,   0.78540,   1.65700,   1.91264
   0.20000,   0.80000,   0.20000,   0.98175,   1.75900,   1.88249
   0.20000,   0.80000,   0.20000,   1.17810,   1.82400,   1.85689
   0.20000,   0.80000,   0.20000,   1.37445,   1.84600,   1.82635
   0.20000,   0.80000,   0.20000,   1.57080,   1.85100,   1.81434
   0.20000,   0.80000,   0.20000,   1.76715,   1.84600,   1.82635
   0.20000,   0.80000,   0.20000,   1.96350,   1.82400,   1.85689
   0.20000,   0.80000,   0.20000,   2.15984,   1.75900,   1.88249
   0.20000,   0.80000,   0.20000,   2.35619,   1.65700,   1.91264
   0.20000,   0.80000,   0.20000,   2.55254,   1.50400,   1.93586
   0.20000,   0.80000,   0.20000,   2.74889,   1.34500,   2.02238
   0.20000,   0.80000,   0.20000,   2.94524,   1.21700,   2.26795
   0.20000,   0.80000,   0.20000,   3.14159,   1.19000,   2.60822
   0.20000,   0.80000,   0.40000,   0.00000,   1.26800,   2.60820
   0.20000,   0.80000,   0.40000,   0.19635,   1.28900,   2.25434
   0.20000,   0.80000,   0.40000,   0.39270,   1.41400,   1.99532
   0.20000,   0.80000,   0.40000,   0.58905,   1.57200,   1.89890
   0.20000,   0.80000,   0.40000,   0.78540,   1.72000,   1.86322
   0.20000,   0.80000,   0.40000,   0.98175,   1.81600,   1.82393
   0.20000,   0.80000,   0.40000,   1.17810,   1.87200,   1.78851
   0.20000,   0.80000,   0.40000,   1.37445,   1.88800,   1.75299
   0.20000,   0.80000,   0.40000,   1.57080,   1.89100,   1.73951
   0.20000,   0.80000,   0.40000,   1.76715,   1.88800,   1.75299
   0.20000,   0.80000,   0.40000,   1.96350,   1.87200,   1.78851
   0.20000,   0.80000,   0.40000,   2.15984,   1.81600,   1.82393
   0.20000,   0.80000,   0.40000,   2.35619,   1.72000,   1.86322
   0.20000,   0.80000,   0.40000,   2.55254,   1.57200,   1.89890
   0.20000,   0.80000,   0.40000,   2.74889,   1.41400,   1.99532
   0.20000,   0.80000,   0.40000,   2.94524,   1.28900,   2.25434
   0.20000,   0.80000,   0.40000,   3.14159,   1.26800,   2.60820
   0.20000,   0.80000,   0.60000,   0.00000,   1.46500,   2.67185
   0.20000,   0.80000,   0.60000,   0.19635,   1.47400,   2.28570
   0.20000,   0.80000,   0.60000,   0.39270,   1.59500,   1.99562
   0.20000,   0.80000,   0.60000,   0.58905,   1.75200,   1.87646
   0.20000,   0.80000,   0.60000,   0.78540,   1.89300,   1.81819
   0.20000,   0.80000,   0.60000,   0.98175,   1.97600,   1.75967
   0.20000,   0.80000,   0.60000,   1.17810,   2.01600,   1.70777
   0.20000,   0.80000,   0.60000,   1.37445,   2.01700,   1.66049
   0.20000,   0.80000,   0.60000,   1.57080,   2.01400,   1.64267
   0.20000,   0.80000,   0.60000,   1.76715,   2.01700,   1.66049
   0.20000,   0.80000,   0.60000,   1.96350,   2.01600,   1.70777
   0.20000,   0.80000,   0.60000,   2.15984,   1.97600,   1.75967
   0.20000,   0.80000,   0.60000,   2.35619,   1.89300,   1.81819
   0.20000,   0.80000,   0.60000,   2.55254,   1.75200,   1.87646
   0.20000,   0.80000,   0.60000,   2.74889,   1.59500,   1.99562
   0.20000,   0.80000,   0.60000,   2.94524,   1.47400,   2.28570
   0.20000,   0.80000,   0.60000,   3.14159,   1.46500,   2.67185
   0.20000,   0.80000,   0.80000,   0.00000,   1.85400,   2.72514
   0.20000,   0.80000,   0.80000,   0.19635,   1.83300,   2.29081
   0.20000,   0.80000,   0.80000,   0.39270,   1.94300,   1.95927
   0.20000,   0.80000,   0.80000,   0.58905,   2.09200,   1.80581
   0.20000,   0.80000,   0.80000,   0.78540,   2.21600,   1.71539
   0.20000,   0.80000,   0.80000,   0.98175,   2.27100,   1.62992
   0.20000,   0.80000,   0.80000,   1.17810,   2.27800,   1.55524
   0.20000,   0.80000,   0.80000,   1.37445,   2.25300,   1.49485
   0.20000,   0.80000,   0.80000,   1.57080,   2.24000,   1.47246
   0.20000,   0.80000,   0.80000,   1.76715,   2.25300,   1.49485
   0.20000,   0.80000,   0.80000,   1.96350,   2.27800,   1.55524
   0.20000,   0.80000,   0.80000,   2.15984,   2.27100,   1.62992
   0.20000,   0.80000,   0.80000,   2.35619,   2.21600,   1.71539
   0.20000,   0.80000,   0.80000,   2.55254,   2.09200,   1.80581
   0.20000,   0.80000,   0.80000,   2.74889,   1.94300,   1.95927
   0.20000,   0.80000,   0.80000,   2.94524,   1.83300,   2.29081
