,a/c,a/t,c/b,phi,F,Mg
1191,0.25,0.4,0.2,2.25925,1.17747,1.31299
16411,1.7,0.4,0.2,1.49831,0.61508,0.79208
18831,2.0,0.7,0.2,2.24994,0.64547,0.73792
1104,0.25,0.4,0.01,1.79244,1.29907,1.31418
5660,0.5,0.4,0.2,1.63132,1.17509,1.16427
11309,1.0,0.4,0.15,1.64764,1.06886,1.06292
3130,0.35,0.5,0.3,0.13504,0.97205,1.54923
8974,0.7,0.3,0.1,1.04663,1.05631,1.091
2896,0.35,0.3,0.3,2.86554,0.83783,1.25165
14723,1.5,0.2,0.1,0.28955,0.88171,0.89089
2279,0.3,0.6,0.05,1.6475,1.46323,1.46384
7912,0.6,0.8,0.15,2.40037,1.24096,1.36577
193,0.2,0.3,0.15,0.58407,0.94424,1.23884
18083,1.9,0.7,0.1,0.30342,0.80372,0.81371
3871,0.4,0.4,0.2,1.04238,1.15528,1.21465
12252,1.1,0.6,0.15,1.3522,0.98621,1.0232
17541,1.9,0.2,0.01,0.88456,0.6415,0.73917
1324,0.25,0.5,0.3,0.14444,0.8958,1.6277
9847,0.8,0.4,0.15,2.84286,1.08051,1.18713
11289,1.0,0.4,0.1,1.80108,1.06811,1.06547
11849,1.1,0.2,0.2,0.73478,1.00072,1.0162
14722,1.5,0.2,0.1,0.1541,0.91778,0.91967
266,0.2,0.4,0.05,2.10326,1.27462,1.36764
5278,0.45,0.8,0.2,1.0466,1.36337,1.41294
5909,0.5,0.6,0.2,1.21459,1.25246,1.26373
14906,1.5,0.4,0.01,2.55681,0.82653,0.86574
16244,1.7,0.3,0.05,1.66655,0.60396,0.78374
15296,1.5,0.7,0.2,1.19947,0.74205,0.8597
11524,1.0,0.6,0.15,2.39673,1.14384,1.1343
5436,0.5,0.2,0.3,2.76006,0.90647,1.16212
8288,0.65,0.4,0.15,2.08677,1.09963,1.13573
16034,1.6,0.7,0.2,1.64328,0.66163,0.82073
4313,0.4,0.8,0.05,1.19381,1.39407,1.43506
14727,1.5,0.2,0.1,0.88048,0.76327,0.84269
7208,0.6,0.3,0.01,0.74501,1.01672,1.1305
12354,1.1,0.7,0.15,0.90335,1.04332,1.06283
1374,0.25,0.6,0.05,1.34754,1.53856,1.55532
8454,0.65,0.5,0.3,1.79798,1.17596,1.15169
11393,1.0,0.5,0.1,1.64529,1.07765,1.07432
10973,0.9,0.8,0.1,1.65175,1.12206,1.11687
12508,1.2,0.2,0.01,1.95362,0.8721,0.9412
7896,0.6,0.8,0.15,0.02948,1.39558,1.78096
7046,0.55,0.8,0.2,1.65079,1.2857,1.26164
13978,1.4,0.2,0.05,1.96185,0.7609,0.87113
6187,0.5,0.8,0.3,1.95213,1.34981,1.32523
11809,1.1,0.2,0.1,1.04747,0.96372,0.99669
3940,0.4,0.5,0.05,1.95252,1.24139,1.27947
8145,0.65,0.3,0.1,2.66935,0.99511,1.15762
1909,0.3,0.3,0.05,2.81624,0.81836,1.25068
5380,0.5,0.2,0.15,0.62672,0.95319,1.12593
2098,0.3,0.4,0.2,2.85096,0.87229,1.35568
11527,1.0,0.6,0.15,2.84638,1.23868,1.22835
4207,0.4,0.7,0.1,1.04817,1.35204,1.42759
1834,0.3,0.2,0.3,1.06646,1.07307,1.12643
14183,1.4,0.4,0.05,1.18979,0.76543,0.87734
11715,1.0,0.8,0.1,2.70137,1.26178,1.25555
11154,1.0,0.3,0.05,0.45024,1.10561,1.1051
3570,0.4,0.2,0.1,0.13146,0.82683,1.27783
16382,1.7,0.4,0.15,0.29497,0.83547,0.84272
11903,1.1,0.3,0.05,2.55649,1.0172,1.03065
9404,0.7,0.7,0.1,2.55142,1.16766,1.29584
17522,1.8,0.8,0.2,1.19643,0.6299,0.77584
3605,0.4,0.2,0.15,2.10151,1.04837,1.11075
18790,2.0,0.7,0.1,2.39853,0.6701,0.74117
9882,0.8,0.5,0.01,1.80436,1.10223,1.10757
16231,1.7,0.3,0.01,2.85102,0.82033,0.83171
12943,1.2,0.6,0.1,1.05616,0.92498,0.98427
8941,0.7,0.3,0.01,2.40165,1.01715,1.10348
12377,1.1,0.7,0.2,1.19919,1.01694,1.04097
11832,1.1,0.2,0.15,1.33472,0.95111,0.99193
14250,1.4,0.4,0.2,1.79353,0.75748,0.8773
2669,0.35,0.2,0.1,0.32795,0.80781,1.18687
11847,1.1,0.2,0.2,0.43674,1.03983,1.04289
18674,2.0,0.6,0.1,0.75026,0.66381,0.73618
7377,0.6,0.4,0.1,0.87954,1.07869,1.16019
16012,1.6,0.7,0.15,1.49804,0.65413,0.81768
12519,1.2,0.2,0.05,0.43781,0.97279,0.98632
7816,0.6,0.7,0.3,0.61549,1.21775,1.34469
16320,1.7,0.4,0.01,0.45293,0.79066,0.81753
4556,0.45,0.2,0.5,3.01816,0.89476,1.27387
16554,1.7,0.6,0.05,0.89307,0.70448,0.79866
8052,0.65,0.2,0.2,1.33771,1.07692,1.08002
10358,0.9,0.2,0.15,0.73765,1.04241,1.06847
14128,1.4,0.3,0.15,2.39362,0.83747,0.88931
14881,1.5,0.3,0.2,1.94332,0.72426,0.84737
8678,0.65,0.7,0.2,0.76687,1.19617,1.28482
3205,0.35,0.6,0.1,1.9471,1.35919,1.39754
15521,1.6,0.3,0.01,0.29082,0.85124,0.86223
9197,0.7,0.5,0.1,2.99873,1.11044,1.31625
4363,0.4,0.8,0.15,2.40928,1.37415,1.5885
12523,1.2,0.2,0.05,1.06926,0.88876,0.95
16589,1.7,0.6,0.1,2.99546,0.90175,0.90155
14044,1.4,0.2,0.2,2.41378,0.84443,0.89318
14134,1.4,0.3,0.2,0.14407,0.97869,0.9739
1231,0.25,0.5,0.01,1.94339,1.38551,1.43219
11319,1.0,0.4,0.2,0.00963,1.23296,1.22077
9487,0.7,0.8,0.05,2.40112,1.193,1.29256
17846,1.9,0.4,0.2,2.55184,0.72631,0.76611
8525,0.65,0.6,0.1,3.00296,1.1731,1.44035
17043,1.8,0.4,0.01,1.79852,0.58446,0.76321
16020,1.6,0.7,0.15,2.69951,0.86936,0.88673
15239,1.5,0.7,0.05,2.09921,0.75412,0.86111
12336,1.1,0.7,0.1,1.34934,0.98695,1.02805
6496,0.55,0.4,0.1,1.02561,1.10623,1.16232
18374,2.0,0.3,0.1,2.98977,0.78639,0.78834
3790,0.4,0.4,0.01,1.48874,1.20793,1.20961
17030,1.8,0.3,0.2,2.98934,0.84926,0.84635
17963,1.9,0.6,0.05,1.19517,0.57952,0.74022
491,0.2,0.6,0.05,1.19459,1.62154,1.67723
17175,1.8,0.5,0.05,2.70439,0.77762,0.80315
8967,0.7,0.3,0.1,0.01109,1.04542,1.24716
9036,0.7,0.4,0.01,0.90166,1.06567,1.12546
2131,0.3,0.5,0.01,1.50088,1.36718,1.36866
6807,0.55,0.6,0.3,0.45851,1.13393,1.34628
1469,0.25,0.6,0.3,3.01136,1.00464,1.8355
9734,0.8,0.3,0.15,1.65185,1.07454,1.0707
6615,0.55,0.5,0.1,0.05043,1.09667,1.47203
13350,1.3,0.3,0.05,2.23946,0.85149,0.91498
4482,0.45,0.2,0.15,1.31495,1.0886,1.0999
12233,1.1,0.6,0.1,1.65186,0.98103,1.02475
2536,0.3,0.8,0.05,2.39749,1.51228,1.78955
2901,0.35,0.4,0.01,0.44527,0.93346,1.27722
259,0.2,0.4,0.05,1.05753,1.28239,1.36879
14455,1.4,0.6,0.2,1.04857,0.81273,0.89797
15425,1.6,0.2,0.01,1.65501,0.63903,0.80609
4059,0.4,0.6,0.05,0.91278,1.25573,1.3786
13064,1.2,0.7,0.15,0.2992,1.11594,1.11254
15846,1.6,0.6,0.01,1.79905,0.65699,0.81519
8146,0.65,0.3,0.1,2.86783,0.99048,1.19742
14967,1.5,0.4,0.15,2.2446,0.77284,0.85244
16054,1.6,0.8,0.05,1.49306,0.65048,0.81986
14693,1.5,0.2,0.01,2.0969,0.73416,0.83962
4499,0.45,0.2,0.2,0.73679,0.97553,1.12086
241,0.2,0.4,0.01,1.49288,1.37572,1.37769
18095,1.9,0.7,0.1,2.10344,0.62135,0.74982
1415,0.25,0.6,0.15,1.19878,1.5131,1.55092
8227,0.65,0.4,0.01,2.38939,1.05364,1.15516
15400,1.5,0.8,0.2,1.05428,0.77727,0.87305
8,0.2,0.2,0.01,1.18428,1.11423,1.15583
17599,1.9,0.2,0.15,0.15329,0.81147,0.81266
3249,0.35,0.6,0.2,2.24093,1.30928,1.43023
11864,1.1,0.2,0.2,2.99588,1.10645,1.10199
16979,1.8,0.3,0.1,1.63543,0.57054,0.76227
3880,0.4,0.4,0.2,2.4157,1.06766,1.23886
4190,0.4,0.7,0.05,1.65594,1.37925,1.37986
15925,1.6,0.6,0.2,1.04218,0.72412,0.83003
14776,1.5,0.2,0.2,1.96708,0.72745,0.84948
17328,1.8,0.6,0.2,0.45071,0.79539,0.81162
10101,0.8,0.7,0.05,0.00879,1.33208,1.48769
12321,1.1,0.7,0.05,2.24818,1.00914,1.03651
11460,1.0,0.6,0.01,2.24617,1.11595,1.11591
12896,1.2,0.6,0.01,0.2956,1.08209,1.08918
13123,1.2,0.8,0.01,2.84959,1.12893,1.13614
14961,1.5,0.4,0.15,1.35484,0.70294,0.84428
1012,0.25,0.3,0.1,0.61294,0.95914,1.22524
16970,1.8,0.3,0.1,0.28865,0.7982,0.80829
7499,0.6,0.5,0.1,0.28361,1.05866,1.31883
1042,0.25,0.3,0.15,1.94897,1.17812,1.21401
14444,1.4,0.6,0.15,2.55176,0.8994,0.9293
11675,1.0,0.8,0.01,3.00119,1.3836,1.38353
16066,1.6,0.8,0.1,0.15129,0.97348,0.97205
521,0.2,0.6,0.1,2.54808,1.2804,1.67023
9141,0.7,0.5,0.01,0.8996,1.09381,1.15554
3668,0.4,0.3,0.01,2.11002,1.08574,1.15584
10283,0.8,0.8,0.2,2.1001,1.18728,1.19211
18240,2.0,0.2,0.01,1.80648,0.52785,0.71874
15155,1.5,0.6,0.1,2.10555,0.7553,0.85907
18113,1.9,0.7,0.15,1.65778,0.54848,0.74503
9588,0.8,0.2,0.05,1.80161,1.05227,1.05696
9573,0.8,0.2,0.01,2.68556,1.01183,1.10234
5801,0.5,0.5,0.3,0.76417,1.13176,1.24537
364,0.2,0.5,0.05,1.04973,1.41867,1.5172
9644,0.8,0.2,0.2,0.73963,1.02687,1.07923
17596,1.9,0.2,0.1,2.85607,0.77147,0.78198
3694,0.4,0.3,0.05,2.87902,0.85359,1.25065
13061,1.2,0.7,0.1,3.00016,1.17004,1.16676
10682,0.9,0.5,0.15,2.10402,1.09959,1.10578
14952,1.5,0.4,0.15,0.01457,0.95124,0.94598
1899,0.3,0.3,0.05,1.35742,1.17624,1.18801
5823,0.5,0.6,0.01,0.90556,1.19593,1.30085
6538,0.55,0.4,0.2,1.02561,1.11245,1.16016
15123,1.5,0.6,0.05,0.45317,0.88204,0.90638
17088,1.8,0.4,0.1,2.25896,0.67468,0.76872
9250,0.7,0.6,0.01,1.50344,1.15855,1.15918
4903,0.45,0.5,0.2,1.49545,1.2519,1.23782
13969,1.4,0.2,0.05,0.61421,0.85144,0.88981
8600,0.65,0.7,0.01,1.6476,1.19533,1.1963
9023,0.7,0.3,0.2,2.10472,1.06151,1.09163
4440,0.45,0.2,0.05,1.31495,1.0872,1.1012
726,0.2,0.8,0.05,1.80105,1.86079,1.88248
13114,1.2,0.8,0.01,1.5023,0.88746,0.97162
11976,1.1,0.4,0.01,0.90288,0.98735,1.01565
4980,0.45,0.6,0.1,0.42926,1.09883,1.43299
7230,0.6,0.3,0.05,0.89483,1.04501,1.12261
8022,0.65,0.2,0.15,0.10219,1.00624,1.24023
14520,1.4,0.7,0.1,1.3455,0.76244,0.88779
18733,2.0,0.7,0.01,0.14586,0.82187,0.82512
12317,1.1,0.7,0.05,1.65169,0.97607,1.02226
6825,0.55,0.7,0.01,0.03655,1.26665,1.70656
15182,1.5,0.6,0.15,2.99891,0.98479,0.97934
4875,0.45,0.5,0.15,0.4746,1.04041,1.32558
11045,1.0,0.2,0.01,2.99385,1.14639,1.14638
6575,0.55,0.5,0.01,0.29062,1.0346,1.33583
3019,0.35,0.4,0.3,2.41295,1.08364,1.25277
17568,1.9,0.2,0.05,1.80237,0.55587,0.7417
16507,1.7,0.5,0.2,0.14499,0.90026,0.89219
17751,1.9,0.4,0.01,0.90237,0.64049,0.74214
16689,1.7,0.7,0.1,2.25194,0.71578,0.80798
9797,0.8,0.4,0.05,1.64508,1.09057,1.09044
12293,1.1,0.7,0.01,1.19919,0.9959,1.03736
2779,0.35,0.3,0.01,1.05212,1.10313,1.17217
16082,1.6,0.8,0.1,2.54839,0.83357,0.87444
18624,2.0,0.5,0.2,2.70684,0.74175,0.7592
9963,0.8,0.5,0.2,1.34745,1.11782,1.10893
1233,0.25,0.5,0.01,2.25545,1.27978,1.43927
12930,1.2,0.6,0.05,2.251,0.94171,0.99011
12858,1.2,0.5,0.15,0.89643,0.93911,0.98195
15258,1.5,0.7,0.1,1.80049,0.70917,0.85133
18177,1.9,0.8,0.1,1.79493,0.56089,0.74634
11026,1.0,0.2,0.01,0.14718,1.1475,1.14749
11407,1.0,0.5,0.15,0.60197,1.13673,1.12883
4210,0.4,0.7,0.1,1.50432,1.38274,1.37804
6827,0.55,0.7,0.01,0.29293,1.16863,1.50794
4370,0.4,0.8,0.2,0.31208,1.27067,1.78098
17860,1.9,0.5,0.01,1.5031,0.53708,0.7381
8677,0.65,0.7,0.2,0.61089,1.19027,1.32214
15093,1.5,0.5,0.2,2.24962,0.7857,0.85981
8401,0.65,0.5,0.15,0.15778,1.10209,1.34626
8574,0.65,0.6,0.3,0.89319,1.18277,1.21914
5627,0.5,0.4,0.1,3.00901,0.97108,1.35254
9386,0.7,0.7,0.05,2.99946,1.24348,1.47699
13897,1.3,0.8,0.1,2.39906,0.93598,0.98073
17586,1.9,0.2,0.1,1.33856,0.558,0.74373
12429,1.1,0.8,0.05,2.69664,1.15734,1.16539
3065,0.35,0.5,0.05,3.00615,0.95925,1.57121
7719,0.6,0.7,0.01,1.81258,1.21892,1.23031
2121,0.3,0.5,0.01,0.07559,0.89648,1.61391
7396,0.6,0.4,0.15,0.5856,1.032,1.18874
1680,0.25,0.8,0.2,0.06213,1.16894,2.2596
936,0.25,0.2,0.3,1.79005,1.13667,1.13685
5125,0.45,0.7,0.15,0.13834,1.20023,1.74008
9251,0.7,0.6,0.01,1.6537,1.15805,1.15902
3532,0.4,0.2,0.01,0.59596,0.91581,1.13447
1316,0.25,0.5,0.2,2.09288,1.3557,1.43081
12961,1.2,0.6,0.15,0.60601,1.00652,1.02452
4271,0.4,0.7,0.3,1.19285,1.40341,1.39008
6353,0.55,0.3,0.05,1.66225,1.11441,1.11552
14431,1.4,0.6,0.15,0.60155,0.90266,0.93414
2322,0.3,0.6,0.15,1.80241,1.45344,1.45913
10336,0.9,0.2,0.1,0.60945,1.04389,1.07884
11850,1.1,0.2,0.2,0.90632,0.98198,1.00533
13670,1.3,0.6,0.05,2.9983,1.07289,1.07414
4641,0.45,0.3,0.2,0.08038,0.90129,1.32527
7497,0.6,0.5,0.1,0.04612,1.1235,1.44459
7135,0.6,0.2,0.1,2.40986,0.99271,1.10605
6782,0.55,0.6,0.15,2.99125,1.1331,1.49615
7184,0.6,0.2,0.3,0.36561,0.95784,1.16179
18409,2.0,0.3,0.2,1.95951,0.56508,0.72525
10701,0.9,0.5,0.2,1.80129,1.10456,1.09363
8615,0.65,0.7,0.05,0.76687,1.17794,1.28616
10510,0.9,0.4,0.01,1.50112,1.07022,1.07044
7313,0.6,0.3,0.3,0.74501,1.03204,1.12839
5640,0.5,0.4,0.15,1.79439,1.16221,1.16666
8992,0.7,0.3,0.15,0.60679,1.01278,1.12074
3451,0.35,0.8,0.1,1.04929,1.46786,1.55311
13746,1.3,0.7,0.01,1.79717,0.82355,0.93096
14518,1.4,0.7,0.1,1.04994,0.80679,0.90113
13413,1.3,0.3,0.2,2.23946,0.863,0.9209
4562,0.45,0.3,0.01,0.75662,1.00785,1.15571
18539,2.0,0.5,0.01,2.55691,0.69241,0.73878
15317,1.5,0.8,0.01,1.20575,0.72658,0.85755
505,0.2,0.6,0.1,0.13613,0.89875,1.82713
555,0.2,0.6,0.2,1.34821,1.67207,1.6671
12499,1.2,0.2,0.01,0.58193,0.94504,0.96819
9621,0.8,0.2,0.15,0.45517,1.0173,1.10533
1234,0.25,0.5,0.01,2.4111,1.21781,1.46313
12922,1.2,0.6,0.05,1.05616,0.9214,0.98319
11650,1.0,0.7,0.2,2.4005,1.17961,1.15918
4155,0.4,0.6,0.3,2.70096,1.1211,1.44886
235,0.2,0.4,0.01,0.58781,1.02716,1.34989
5393,0.5,0.2,0.15,2.51424,0.95347,1.12601
6818,0.55,0.6,0.3,2.0901,1.2272,1.24331
2603,0.3,0.8,0.2,2.99732,1.29948,2.21776
8402,0.65,0.5,0.15,0.27741,1.08039,1.29867
5952,0.5,0.7,0.01,1.33818,1.27784,1.29084
4832,0.45,0.5,0.05,0.30852,1.00173,1.38094
4612,0.45,0.3,0.1,1.96654,1.10521,1.13851
10571,0.9,0.4,0.15,1.20594,1.0765,1.07709
11624,1.0,0.7,0.15,1.65426,1.10139,1.09067
6748,0.55,0.6,0.1,1.05073,1.20021,1.25363
8729,0.65,0.8,0.01,2.10118,1.20765,1.25685
18485,2.0,0.4,0.15,0.7533,0.66115,0.7325
8306,0.65,0.4,0.2,1.64981,1.13434,1.12414
6365,0.55,0.3,0.1,0.28598,0.93882,1.21145
5293,0.45,0.8,0.3,0.15651,1.32367,1.84232
10760,0.9,0.6,0.1,1.19792,1.11078,1.11375
18293,2.0,0.2,0.2,0.28385,0.76576,0.77361
5562,0.5,0.3,0.3,2.65912,0.95311,1.17017
16856,1.8,0.2,0.05,2.12205,0.63979,0.76126
12102,1.1,0.5,0.05,0.9049,1.00226,1.03032
5453,0.5,0.3,0.01,2.08056,1.075,1.12917
8955,0.7,0.3,0.05,1.34404,1.07484,1.08138
5686,0.5,0.4,0.3,2.38088,1.0719,1.18756
10469,0.9,0.3,0.15,1.6418,1.06233,1.05816
4040,0.4,0.6,0.01,1.19096,1.30844,1.34915
11533,1.0,0.6,0.2,0.60575,1.17322,1.15581
14192,1.4,0.4,0.05,2.5548,0.86744,0.90289
12710,1.2,0.4,0.01,0.75721,0.93937,0.97663
1510,0.25,0.7,0.05,2.8503,1.16641,1.9054
18450,2.0,0.4,0.05,1.791,0.52805,0.72177
12714,1.2,0.4,0.01,1.35678,0.87121,0.94966
6580,0.55,0.5,0.01,1.06075,1.15202,1.20556
13963,1.4,0.2,0.01,2.84931,0.91257,0.92208
14419,1.4,0.6,0.1,1.94585,0.77858,0.89043
7189,0.6,0.2,0.3,1.04945,1.0602,1.09471
16230,1.7,0.3,0.01,2.70677,0.78736,0.812
8522,0.65,0.6,0.1,2.55285,1.12846,1.27712
12265,1.1,0.6,0.2,0.15294,1.21769,1.20083
10927,0.9,0.8,0.01,1.05297,1.14162,1.15525
3722,0.4,0.3,0.15,0.758,1.01422,1.16911
6475,0.55,0.4,0.05,1.02561,1.10326,1.16135
860,0.25,0.2,0.05,3.00415,0.68889,1.29452
10744,0.9,0.6,0.05,1.95294,1.10687,1.11327
6589,0.55,0.5,0.01,2.37832,1.10132,1.23329
3792,0.4,0.4,0.01,1.78476,1.19717,1.20875
18699,2.0,0.6,0.15,1.3552,0.53344,0.72443
11479,1.0,0.6,0.05,1.94571,1.09503,1.09402
13695,1.3,0.6,0.15,0.44611,0.98408,0.99535
12209,1.1,0.6,0.05,1.20337,0.99276,1.03332
10500,0.9,0.4,0.01,0.00857,1.16958,1.23281
7901,0.6,0.8,0.15,0.74099,1.24161,1.36656
2414,0.3,0.7,0.05,2.99031,1.1537,1.9981
2389,0.3,0.7,0.01,2.40419,1.39754,1.66074
17041,1.8,0.4,0.01,1.49173,0.57281,0.76582
16354,1.7,0.4,0.05,2.40585,0.73353,0.7999
2515,0.3,0.8,0.01,2.39749,1.4971,1.77369
17342,1.8,0.6,0.2,2.55088,0.76388,0.79935
3184,0.35,0.6,0.05,1.9471,1.35927,1.40152
18467,2.0,0.4,0.1,1.1982,0.55476,0.71979
11333,1.0,0.4,0.2,2.10809,1.08594,1.0752
5553,0.5,0.3,0.3,1.33465,1.12798,1.12082
17887,1.9,0.5,0.05,2.39746,0.68034,0.75188
9090,0.7,0.4,0.1,2.70187,1.02984,1.17595
8323,0.65,0.4,0.3,1.05405,1.11567,1.13303
16581,1.7,0.6,0.1,1.79441,0.62087,0.7888
5470,0.5,0.3,0.05,1.4926,1.12284,1.12361
9784,0.8,0.4,0.01,2.84286,1.07235,1.18472
17926,1.9,0.5,0.15,1.95367,0.58722,0.74375
6427,0.55,0.3,0.3,0.18257,0.95449,1.24257
8716,0.65,0.8,0.01,0.15326,1.30221,1.6025
15071,1.5,0.5,0.15,2.09101,0.75176,0.85482
2598,0.3,0.8,0.2,2.24779,1.55763,1.70508
15911,1.6,0.6,0.15,2.0986,0.71743,0.82795
4386,0.4,0.8,0.2,2.69578,1.29281,1.68991
7082,0.6,0.2,0.01,0.73149,0.99253,1.10727
2467,0.3,0.7,0.2,1.50607,1.54526,1.51994
2197,0.3,0.5,0.15,1.94577,1.33303,1.36756
15240,1.5,0.7,0.05,2.2471,0.78385,0.86803
8733,0.65,0.8,0.01,2.70006,1.22671,1.43903
13231,1.3,0.2,0.05,0.15505,0.99133,0.99345
9919,0.8,0.5,0.1,1.04693,1.10634,1.12927
2505,0.3,0.8,0.01,0.89342,1.52832,1.70694
1097,0.25,0.4,0.01,0.74546,1.11171,1.32612
4063,0.4,0.6,0.05,1.49183,1.3365,1.33701
12713,1.2,0.4,0.01,1.19692,0.88236,0.95287
12608,1.2,0.3,0.01,1.20685,0.87302,0.94344
5866,0.5,0.6,0.1,1.06461,1.22501,1.28111
17614,1.9,0.2,0.15,2.4165,0.68484,0.75151
16058,1.6,0.8,0.05,2.09664,0.71717,0.83398
14087,1.4,0.3,0.05,2.54007,0.85776,0.89472
5434,0.5,0.2,0.3,2.40626,0.98856,1.11658
12279,1.1,0.6,0.2,2.25516,1.03603,1.04912
1820,0.3,0.2,0.2,2.07436,1.06778,1.12768
13319,1.3,0.3,0.01,0.74832,0.87323,0.92017
7245,0.6,0.3,0.1,0.07999,1.00292,1.28873
4418,0.45,0.2,0.01,1.16318,1.06587,1.10214
1585,0.25,0.7,0.3,1.50292,1.68506,1.62088
9135,0.7,0.5,0.01,0.00311,1.13431,1.35571
9660,0.8,0.3,0.01,0.01189,1.09072,1.21942
2090,0.3,0.4,0.2,1.66031,1.27756,1.26724
14244,1.4,0.4,0.2,0.89292,0.82275,0.88969
11409,1.0,0.5,0.15,0.90036,1.10621,1.09852
16739,1.7,0.8,0.05,0.29746,0.87844,0.89013
18338,2.0,0.3,0.05,0.74339,0.65276,0.72485
14050,1.4,0.3,0.01,0.14407,0.957,0.95941
16684,1.7,0.7,0.1,1.49353,0.61055,0.7904
4887,0.45,0.5,0.15,2.26138,1.16198,1.27238
4400,0.4,0.8,0.3,1.6478,1.45312,1.38981
3222,0.35,0.6,0.15,1.35953,1.38761,1.38964
110,0.2,0.2,0.3,0.73932,0.97018,1.15513
16556,1.7,0.6,0.05,1.20225,0.64269,0.79251
2864,0.35,0.3,0.2,1.18301,1.13655,1.16658
135,0.2,0.3,0.01,1.33893,1.23213,1.24824
687,0.2,0.7,0.2,2.25147,1.6683,1.84766
8272,0.65,0.4,0.1,2.8387,1.02644,1.23408
6119,0.5,0.8,0.1,1.21113,1.29701,1.32245
10175,0.8,0.7,0.2,1.65354,1.15721,1.13786
15707,1.6,0.4,0.15,2.9971,0.91033,0.90815
15138,1.5,0.6,0.05,2.69952,0.88399,0.90717
1947,0.3,0.3,0.15,2.24996,1.07331,1.19456
15352,1.5,0.8,0.1,0.15245,1.01693,1.01517
8241,0.65,0.4,0.05,1.33088,1.11701,1.12561
9975,0.8,0.6,0.01,0.01187,1.26019,1.40886
15890,1.6,0.6,0.1,2.0986,0.71231,0.82589
17674,1.9,0.3,0.05,1.95459,0.57926,0.73823
9041,0.7,0.4,0.01,1.64858,1.10233,1.10315
15830,1.6,0.5,0.2,2.55225,0.81702,0.85011
14260,1.4,0.5,0.01,0.14625,0.99465,0.99722
10733,0.9,0.6,0.05,0.30234,1.19529,1.25232
3066,0.35,0.5,0.1,0.07138,0.95197,1.58987
18600,2.0,0.5,0.15,2.24295,0.63036,0.72997
10382,0.9,0.2,0.2,1.19756,1.05273,1.05425
3010,0.35,0.4,0.3,1.05771,1.18844,1.23304
16639,1.7,0.7,0.01,1.04929,0.6704,0.79392
8044,0.65,0.2,0.2,0.10219,1.00898,1.24092
15192,1.5,0.6,0.2,1.35482,0.7151,0.85086
18874,2.0,0.8,0.1,2.4041,0.67898,0.74934
9034,0.7,0.4,0.01,0.60677,1.03347,1.14839
2227,0.3,0.5,0.3,0.13887,0.93891,1.59423
11512,1.0,0.6,0.15,0.60575,1.16678,1.15705
10790,0.9,0.6,0.15,2.54773,1.15086,1.18187
2007,0.3,0.4,0.01,1.78936,1.25826,1.27206
15185,1.5,0.6,0.2,0.30058,0.93996,0.93764
7715,0.6,0.7,0.01,1.21124,1.21184,1.23706
8287,0.65,0.4,0.15,1.97412,1.11039,1.13024
6599,0.55,0.5,0.05,0.76315,1.10165,1.23279
7712,0.6,0.7,0.01,0.76751,1.1863,1.31187
8429,0.65,0.5,0.2,1.21575,1.15232,1.15885
13909,1.3,0.8,0.15,1.05112,0.8788,0.95267
14770,1.5,0.2,0.2,1.04388,0.74611,0.84894
15786,1.6,0.5,0.1,2.24625,0.73779,0.82595
11346,1.0,0.5,0.01,0.90036,1.09024,1.09021
6074,0.5,0.8,0.01,0.74794,1.27431,1.44968
5656,0.5,0.4,0.2,1.0475,1.12648,1.1747
1351,0.25,0.6,0.01,1.058,1.46873,1.56564
4508,0.45,0.2,0.2,2.1371,1.04307,1.10784
15050,1.5,0.5,0.1,2.09101,0.74758,0.85337
7023,0.55,0.8,0.15,1.35149,1.2723,1.26875
18821,2.0,0.7,0.2,0.75497,0.67998,0.74481
15022,1.5,0.5,0.05,1.04976,0.74684,0.85436
16983,1.8,0.3,0.1,2.26171,0.67235,0.76593
12143,1.1,0.5,0.15,0.7491,1.03295,1.04752
3108,0.35,0.5,0.2,0.07138,0.95394,1.57833
15582,1.6,0.3,0.15,0.01883,0.91092,0.90717
2508,0.3,0.8,0.01,1.34495,1.54681,1.5649
10830,0.9,0.7,0.01,2.25047,1.13344,1.15572
6048,0.5,0.7,0.3,0.04088,1.28758,1.74748
15169,1.5,0.6,0.15,1.05048,0.75682,0.85935
14060,1.4,0.3,0.01,1.65326,0.73543,0.86875
8122,0.65,0.3,0.05,2.39769,1.02356,1.12363
13884,1.3,0.8,0.1,0.44758,1.01725,1.03256
11440,1.0,0.5,0.2,2.40371,1.12651,1.11258
11672,1.0,0.8,0.01,2.54825,1.20859,1.20853
18707,2.0,0.6,0.15,2.55283,0.70652,0.74825
7400,0.6,0.4,0.15,1.2205,1.1243,1.14017
12623,1.2,0.3,0.05,0.30405,1.00938,1.01594
2686,0.35,0.2,0.1,2.81289,0.80782,1.18632
17430,1.8,0.7,0.2,0.01162,0.89542,0.87993
81,0.2,0.2,0.15,2.71829,0.79307,1.17971
13024,1.2,0.7,0.05,0.60225,1.01719,1.04265
11984,1.1,0.4,0.01,2.10866,0.9745,1.00842
14138,1.4,0.3,0.2,0.74782,0.84498,0.89434
13577,1.3,0.5,0.1,1.65276,0.80882,0.91829
8777,0.65,0.8,0.1,2.98777,1.31365,1.60858
7166,0.6,0.2,0.2,0.73149,0.99684,1.1066
733,0.2,0.8,0.05,2.83869,1.35877,2.28044
5534,0.5,0.3,0.2,1.64865,1.1302,1.1231
