,a/c,a/t,c/b,phi,F,Mg
11245,1.0,0.4,0.01,1.49363,1.0566,1.05657
2204,0.3,0.5,0.15,3.00234,0.93136,1.61512
18728,2.0,0.6,0.2,2.55283,0.71409,0.75131
3049,0.35,0.5,0.05,0.60753,1.09377,1.36713
3530,0.4,0.2,0.01,0.26696,0.82542,1.20734
18848,2.0,0.8,0.05,1.65046,0.51569,0.72498
10893,0.9,0.7,0.15,2.25047,1.14739,1.15861
14917,1.5,0.4,0.05,1.04871,0.73894,0.84527
16451,1.7,0.5,0.05,1.19399,0.63999,0.78764
3454,0.35,0.8,0.1,1.50325,1.46747,1.46169
15401,1.5,0.8,0.2,1.20575,0.74711,0.86436
3319,0.35,0.7,0.1,0.14355,1.16802,1.89969
11329,1.0,0.4,0.2,1.49363,1.0745,1.06388
11195,1.0,0.3,0.15,0.28877,1.13773,1.13299
3791,0.4,0.4,0.01,1.65249,1.20855,1.21022
7104,0.6,0.2,0.05,0.94758,1.02886,1.09376
4912,0.45,0.5,0.2,2.86618,1.00576,1.3891
16256,1.7,0.3,0.1,0.28974,0.82557,0.83542
14042,1.4,0.2,0.2,2.09204,0.78944,0.88115
16986,1.8,0.3,0.1,2.70836,0.76642,0.79026
5245,0.45,0.8,0.1,2.39198,1.31827,1.50788
5754,0.5,0.5,0.15,0.05508,1.06723,1.49542
8180,0.65,0.3,0.2,1.68158,1.10339,1.09715
641,0.2,0.7,0.1,1.65269,1.80742,1.80251
13243,1.3,0.2,0.05,1.95885,0.81197,0.90396
8150,0.65,0.3,0.15,0.27301,0.99209,1.19673
18856,2.0,0.8,0.05,2.8464,0.7831,0.79506
14562,1.4,0.7,0.2,1.3455,0.77511,0.89075
4796,0.45,0.4,0.3,1.18243,1.17198,1.18118
1277,0.25,0.5,0.1,2.5399,1.12575,1.44597
938,0.25,0.2,0.3,2.08643,1.07877,1.13804
14229,1.4,0.4,0.15,1.79353,0.75492,0.87816
12513,1.2,0.2,0.01,2.70292,0.9689,0.98272
17988,1.9,0.6,0.1,1.8027,0.55721,0.7409
11532,1.0,0.6,0.2,0.44438,1.20582,1.18792
18573,2.0,0.5,0.1,1.36024,0.52926,0.72356
4557,0.45,0.3,0.01,0.08038,0.89702,1.32882
11229,1.0,0.3,0.2,2.25192,1.07672,1.06874
8750,0.65,0.8,0.05,2.10118,1.21262,1.26052
9637,0.8,0.2,0.15,2.85094,1.02772,1.13297
7273,0.6,0.3,0.15,1.03253,1.06686,1.11247
8607,0.65,0.7,0.01,2.69781,1.17548,1.37829
13427,1.3,0.4,0.01,1.19326,0.81852,0.91256
3356,0.35,0.7,0.15,2.5379,1.28673,1.59698
14480,1.4,0.7,0.01,1.64696,0.74645,0.88195
6641,0.55,0.5,0.15,0.76315,1.10866,1.23297
1794,0.3,0.2,0.15,1.33843,1.11795,1.12872
9630,0.8,0.2,0.15,1.80161,1.05545,1.05754
8020,0.65,0.2,0.1,2.91456,0.97348,1.18594
11681,1.0,0.8,0.05,0.74669,1.18023,1.17877
13042,1.2,0.7,0.1,0.15074,1.16517,1.16214
932,0.25,0.2,0.3,1.18523,1.10893,1.13629
9099,0.7,0.4,0.15,0.90166,1.07457,1.12858
5844,0.5,0.6,0.05,0.90556,1.20084,1.30503
13464,1.3,0.4,0.1,0.44318,0.94349,0.9597
9908,0.8,0.5,0.05,2.54793,1.0921,1.1716
13694,1.3,0.6,0.15,0.30454,1.02188,1.02288
132,0.2,0.3,0.01,0.90098,1.107,1.24254
15625,1.6,0.4,0.01,0.14394,0.89976,0.90258
15877,1.6,0.6,0.1,0.14537,0.9381,0.93764
1961,0.3,0.3,0.2,1.18821,1.15571,1.18671
3584,0.4,0.2,0.1,2.10151,1.04925,1.1134
16943,1.8,0.3,0.01,2.55724,0.73021,0.77462
12652,1.2,0.3,0.1,1.50231,0.86725,0.94778
12268,1.1,0.6,0.2,0.60189,1.0867,1.086
4270,0.4,0.7,0.3,1.04817,1.38882,1.41517
4042,0.4,0.6,0.01,1.49183,1.3336,1.3353
5821,0.5,0.6,0.01,0.58706,1.12971,1.35711
8905,0.7,0.2,0.15,0.14624,0.99208,1.17602
15879,1.6,0.6,0.1,0.45391,0.84677,0.87033
10059,0.8,0.6,0.2,0.01187,1.28058,1.41045
18056,1.9,0.7,0.01,2.54922,0.72649,0.77435
2192,0.3,0.5,0.15,1.19494,1.33306,1.3678
18625,2.0,0.5,0.2,2.84859,0.77558,0.77846
5362,0.5,0.2,0.1,1.08311,1.0523,1.09936
6894,0.55,0.7,0.15,0.89576,1.2344,1.32353
8361,0.65,0.5,0.05,0.44937,1.07046,1.25275
10479,0.9,0.3,0.2,0.01231,1.15586,1.20934
12134,1.1,0.5,0.1,2.54948,1.05357,1.06501
7895,0.6,0.8,0.1,2.9965,1.30705,1.66381
14000,1.4,0.2,0.1,2.09204,0.78002,0.87388
1770,0.3,0.2,0.1,0.88547,1.01338,1.13361
14892,1.5,0.4,0.01,0.45621,0.85422,0.87891
10630,0.9,0.5,0.05,0.60653,1.10487,1.14256
1959,0.3,0.3,0.2,0.89126,1.07582,1.1936
15199,1.5,0.6,0.2,2.40183,0.83058,0.87999
4821,0.45,0.5,0.01,1.79803,1.22896,1.24168
2585,0.3,0.8,0.2,0.30409,1.29438,1.9713
13804,1.3,0.7,0.15,1.04954,0.86906,0.94325
3167,0.35,0.6,0.01,2.54614,1.17617,1.48024
17620,1.9,0.2,0.2,0.15329,0.82333,0.82275
17946,1.9,0.6,0.01,1.8027,0.55534,0.74113
12993,1.2,0.6,0.2,2.251,0.95961,0.99488
12111,1.1,0.5,0.05,2.25047,1.00374,1.03117
5029,0.45,0.6,0.2,1.50624,1.30536,1.28706
7599,0.6,0.6,0.01,2.68872,1.113,1.33536
11919,1.1,0.3,0.1,1.80729,0.95614,0.99809
4025,0.4,0.5,0.3,2.10417,1.23574,1.27709
3943,0.4,0.5,0.05,2.40793,1.13402,1.32394
6159,0.5,0.8,0.2,0.9036,1.31778,1.40575
8924,0.7,0.2,0.15,2.99479,0.9921,1.176
10412,0.9,0.3,0.01,2.55839,1.05432,1.0924
9037,0.7,0.4,0.01,1.04607,1.07878,1.11633
8743,0.65,0.8,0.05,1.03966,1.21344,1.26152
8438,0.65,0.5,0.2,2.52991,1.09037,1.21708
15970,1.6,0.7,0.05,1.49804,0.64719,0.81608
2065,0.3,0.4,0.15,1.05206,1.20365,1.27518
12696,1.2,0.3,0.2,1.80086,0.88212,0.95374
