,a/c,a/t,c/b,phi,F,Mg
328,1.0,0.4,0.2,0.98175,1.088,1.07724
65,0.2,0.6,0.2,2.74889,1.08,1.63214
161,0.2,0.8,0.8,1.5708,2.24,1.47246
261,0.6,0.4,0.2,1.1781,1.121,1.13756
406,1.0,0.6,0.6,2.94524,1.595,1.37683
244,0.6,0.2,0.2,1.1781,1.087,1.10857
16,0.2,0.2,0.2,3.14159,0.617,1.37284
350,1.0,0.4,0.4,1.9635,1.11,1.06588
327,1.0,0.4,0.2,0.7854,1.104,1.09309
197,0.4,0.4,0.2,1.9635,1.184,1.2114
465,1.0,0.8,0.8,1.1781,1.392,0.91503
120,0.2,0.8,0.4,0.19635,1.289,2.25434
365,1.0,0.6,0.2,1.5708,1.107,1.09057
458,1.0,0.8,0.6,3.14159,1.853,1.51135
415,1.0,0.8,0.2,1.37445,1.118,1.09586
347,1.0,0.4,0.4,1.37445,1.099,1.05531
228,0.4,0.8,0.2,1.37445,1.446,1.42892
425,1.0,0.8,0.4,0.0,1.579,1.45251
192,0.4,0.4,0.2,0.98175,1.136,1.21241
518,2.0,0.6,0.2,1.5708,0.501,0.69801
273,0.6,0.6,0.2,0.19635,1.149,1.43761
375,1.0,0.6,0.4,0.19635,1.403,1.31903
351,1.0,0.4,0.4,2.15984,1.127,1.0822
358,1.0,0.6,0.2,0.19635,1.321,1.30139
191,0.4,0.4,0.2,0.7854,1.075,1.21965
234,0.4,0.8,0.2,2.55254,1.327,1.61644
47,0.2,0.4,0.4,2.55254,1.03,1.29878
199,0.4,0.4,0.2,2.35619,1.075,1.21965
503,2.0,0.4,0.2,1.9635,0.56,0.71589
270,0.6,0.4,0.2,2.94524,1.004,1.26251
34,0.2,0.4,0.4,0.0,0.743,1.59536
428,1.0,0.8,0.4,0.58905,1.296,1.19218
440,1.0,0.8,0.4,2.94524,1.512,1.39087
390,1.0,0.6,0.4,3.14159,1.445,1.35852
499,2.0,0.4,0.2,1.1781,0.56,0.71589
179,0.4,0.2,0.2,1.76715,1.129,1.13259
288,0.6,0.6,0.2,3.14159,1.172,1.49059
111,0.2,0.8,0.2,1.76715,1.846,1.82635
472,1.0,0.8,0.8,2.55254,1.801,1.18388
456,1.0,0.8,0.6,2.74889,1.588,1.29521
201,0.4,0.4,0.2,2.74889,0.946,1.28417
255,0.6,0.4,0.2,0.0,1.015,1.29741
166,0.2,0.8,0.8,2.55254,2.092,1.80581
306,1.0,0.2,0.2,0.0,1.174,1.1682
233,0.4,0.8,0.2,2.35619,1.374,1.54327
170,0.4,0.2,0.2,0.0,0.767,1.20674
279,0.6,0.6,0.2,1.37445,1.227,1.21626
348,1.0,0.4,0.4,1.5708,1.095,1.05147
28,0.2,0.4,0.2,2.15984,1.222,1.32103
301,0.6,0.8,0.2,2.35619,1.243,1.3417
398,1.0,0.6,0.6,1.37445,1.224,1.05658
336,1.0,0.4,0.2,2.55254,1.126,1.11487
451,1.0,0.8,0.6,1.76715,1.198,0.97712
21,0.2,0.4,0.2,0.7854,1.122,1.30821
304,0.6,0.8,0.2,2.94524,1.304,1.62333
225,0.4,0.8,0.2,0.7854,1.374,1.54327
305,0.6,0.8,0.2,3.14159,1.353,1.71212
85,0.2,0.6,0.6,0.0,1.037,2.00164
123,0.2,0.8,0.4,0.7854,1.72,1.86322
294,0.6,0.8,0.2,0.98175,1.245,1.28936
208,0.4,0.6,0.2,0.7854,1.247,1.40772
320,1.0,0.2,0.2,2.74889,1.105,1.09954
520,2.0,0.6,0.2,1.9635,0.56,0.71231
464,1.0,0.8,0.8,0.98175,1.483,0.97485
313,1.0,0.2,0.2,1.37445,1.05,1.04481
153,0.2,0.8,0.8,0.0,1.854,2.72514
543,2.0,0.8,0.2,3.14159,0.876,0.85865
173,0.4,0.2,0.2,0.58905,0.923,1.14137
371,1.0,0.6,0.2,2.74889,1.256,1.23736
340,1.0,0.4,0.4,0.0,1.293,1.2416
