a/c,a/t,c/b,phi,F,Mg
   1.30000,   0.70000,   0.20000,   2.52475,   0.94895,   0.96740
   0.60000,   0.30000,   0.20000,   2.31868,   1.04800,   1.13563
   0.25000,   0.70000,   0.20000,   0.61581,   1.39345,   1.74948
   0.40000,   0.50000,   0.20000,   2.33796,   1.17462,   1.32071
   1.30000,   0.60000,   0.20000,   1.97167,   0.84470,   0.92541
   0.45000,   0.50000,   0.20000,   1.43478,   1.28243,   1.27126
   1.40000,   0.40000,   0.20000,   3.02949,   0.98195,   0.97373
   0.45000,   0.70000,   0.20000,   1.12180,   1.36915,   1.40133
   1.30000,   0.80000,   0.20000,   1.46305,   0.83657,   0.93309
   0.80000,   0.80000,   0.20000,   0.79683,   1.20142,   1.23598
   0.25000,   0.70000,   0.20000,   2.03435,   1.61708,   1.67370
   0.50000,   0.50000,   0.20000,   0.17749,   1.02720,   1.40301
   0.65000,   0.60000,   0.20000,   2.46286,   1.14601,   1.25732
   0.40000,   0.80000,   0.20000,   2.93565,   1.23581,   1.82258
   1.40000,   0.70000,   0.20000,   0.27226,   1.00197,   0.99353
   1.60000,   0.70000,   0.20000,   0.62238,   0.81705,   0.85085
   1.30000,   0.60000,   0.20000,   2.91761,   1.04465,   1.03440
   1.40000,   0.80000,   0.20000,   1.78210,   0.77624,   0.89101
   1.10000,   0.70000,   0.20000,   2.42355,   1.06590,   1.06809
   1.90000,   0.60000,   0.20000,   0.80620,   0.68080,   0.75478
   0.80000,   0.70000,   0.20000,   1.23990,   1.19418,   1.18491
   0.50000,   0.50000,   0.20000,   3.08626,   1.04270,   1.45305
   0.45000,   0.20000,   0.20000,   1.08470,   1.07659,   1.12373
   1.50000,   0.70000,   0.20000,   2.40712,   0.82619,   0.87228
   1.60000,   0.80000,   0.20000,   1.46535,   0.66663,   0.82300
   1.00000,   0.70000,   0.20000,   2.07586,   1.13777,   1.11806
   0.80000,   0.20000,   0.20000,   0.15362,   1.04551,   1.15934
   1.30000,   0.60000,   0.20000,   2.68269,   0.97495,   0.98074
   0.35000,   0.50000,   0.20000,   2.10679,   1.27309,   1.34175
   1.90000,   0.60000,   0.20000,   1.99933,   0.60306,   0.74619
   0.90000,   0.60000,   0.20000,   0.94281,   1.13406,   1.13633
   1.90000,   0.60000,   0.20000,   2.66682,   0.76164,   0.78170
   0.65000,   0.60000,   0.20000,   0.29548,   1.14188,   1.35757
   0.65000,   0.70000,   0.20000,   3.06576,   1.27125,   1.54645
   0.40000,   0.60000,   0.20000,   0.51646,   1.14752,   1.45460
   0.60000,   0.20000,   0.20000,   1.04945,   1.05931,   1.10063
   1.10000,   0.60000,   0.20000,   0.49714,   1.09322,   1.08790
   1.40000,   0.60000,   0.20000,   1.51265,   0.75927,   0.88433
   0.30000,   0.60000,   0.20000,   1.51087,   1.49917,   1.47813
   1.40000,   0.50000,   0.20000,   2.42672,   0.85661,   0.89751
   1.50000,   0.30000,   0.20000,   2.18041,   0.75736,   0.84495
   0.50000,   0.80000,   0.20000,   2.52949,   1.27153,   1.48393
   1.20000,   0.50000,   0.20000,   2.73569,   1.02539,   1.02515
   0.40000,   0.80000,   0.20000,   2.23681,   1.42159,   1.53485
   0.35000,   0.80000,   0.20000,   2.86768,   1.24536,   1.85703
   0.80000,   0.70000,   0.20000,   0.40119,   1.21098,   1.30337
   1.40000,   0.50000,   0.20000,   0.01123,   1.03317,   1.02042
   0.25000,   0.80000,   0.20000,   0.72043,   1.56317,   1.85002
   0.20000,   0.20000,   0.20000,   0.73932,   0.99552,   1.19272
   0.40000,   0.60000,   0.20000,   2.74420,   1.10716,   1.49174
   1.40000,   0.30000,   0.20000,   1.65326,   0.74518,   0.87376
   0.35000,   0.60000,   0.20000,   1.44050,   1.43797,   1.42193
   1.90000,   0.60000,   0.20000,   2.65433,   0.75854,   0.78023
   2.00000,   0.50000,   0.20000,   2.33112,   0.65384,   0.73184
   1.00000,   0.20000,   0.20000,   0.44175,   1.09244,   1.08705
   0.50000,   0.50000,   0.20000,   2.25379,   1.16423,   1.25650
   0.80000,   0.40000,   0.20000,   1.03984,   1.09666,   1.11242
   1.60000,   0.40000,   0.20000,   2.12597,   0.71402,   0.81727
   1.00000,   0.30000,   0.20000,   1.53597,   1.06519,   1.05729
   0.50000,   0.70000,   0.20000,   1.21263,   1.34709,   1.35615
   0.65000,   0.80000,   0.20000,   2.18841,   1.25674,   1.29996
   0.55000,   0.80000,   0.20000,   1.88335,   1.36288,   1.35887
   1.70000,   0.70000,   0.20000,   1.07733,   0.67855,   0.79585
   1.30000,   0.80000,   0.20000,   0.45654,   1.01185,   1.01253
   0.35000,   0.40000,   0.20000,   2.22263,   1.16029,   1.26647
   1.50000,   0.40000,   0.20000,   0.09528,   0.94712,   0.93894
   1.60000,   0.80000,   0.20000,   2.37139,   0.78627,   0.84121
   0.60000,   0.40000,   0.20000,   0.75852,   1.07310,   1.17755
   1.30000,   0.80000,   0.20000,   2.99979,   1.14073,   1.12043
   1.00000,   0.50000,   0.20000,   0.25031,   1.21380,   1.19879
   1.20000,   0.80000,   0.20000,   0.95283,   0.95715,   0.99294
   2.00000,   0.40000,   0.20000,   0.43394,   0.73508,   0.75416
   0.55000,   0.40000,   0.20000,   1.45590,   1.18445,   1.17544
   1.50000,   0.30000,   0.20000,   0.31975,   0.88361,   0.88953
   0.30000,   0.60000,   0.20000,   2.09361,   1.41259,   1.48409
   0.50000,   0.70000,   0.20000,   2.56764,   1.20686,   1.43150
   1.40000,   0.70000,   0.20000,   1.48059,   0.76516,   0.88794
   1.00000,   0.50000,   0.20000,   0.20951,   1.22642,   1.21126
   0.30000,   0.80000,   0.20000,   0.86119,   1.53768,   1.70289
   0.35000,   0.20000,   0.20000,   1.78132,   1.13541,   1.14089
   0.40000,   0.60000,   0.20000,   0.65331,   1.19600,   1.42277
   0.25000,   0.50000,   0.20000,   1.87179,   1.41727,   1.43017
   1.90000,   0.60000,   0.20000,   3.09331,   0.86999,   0.85744
   1.80000,   0.70000,   0.20000,   1.65260,   0.58525,   0.76874
   1.70000,   0.40000,   0.20000,   1.49831,   0.61230,   0.78851
   0.80000,   0.80000,   0.20000,   1.45674,   1.22723,   1.20433
   1.30000,   0.50000,   0.20000,   1.03483,   0.85350,   0.92217
   0.20000,   0.60000,   0.20000,   2.67764,   1.23498,   1.75261
   0.80000,   0.50000,   0.20000,   1.50026,   1.14732,   1.13365
   0.80000,   0.40000,   0.20000,   0.55965,   1.07519,   1.14722
   0.70000,   0.60000,   0.20000,   2.08681,   1.18032,   1.20199
   1.90000,   0.70000,   0.20000,   0.80296,   0.68555,   0.75742
   0.80000,   0.40000,   0.20000,   2.71020,   1.07990,   1.16773
   2.00000,   0.80000,   0.20000,   1.86098,   0.55383,   0.72670
   0.50000,   0.20000,   0.20000,   1.08311,   1.07162,   1.11539
   0.60000,   0.50000,   0.20000,   1.71374,   1.21146,   1.20040
   0.25000,   0.80000,   0.20000,   1.67346,   1.81467,   1.78314
   2.00000,   0.80000,   0.20000,   1.05276,   0.60369,   0.72908
   0.50000,   0.50000,   0.20000,   1.07578,   1.20650,   1.24812
   0.70000,   0.40000,   0.20000,   1.18582,   1.12376,   1.13361
   1.70000,   0.70000,   0.20000,   0.14228,   0.92399,   0.91099
   0.45000,   0.80000,   0.20000,   1.29131,   1.45970,   1.45336
   0.70000,   0.70000,   0.20000,   2.11309,   1.21273,   1.23602
   0.90000,   0.80000,   0.20000,   0.57672,   1.22013,   1.23959
   1.00000,   0.70000,   0.20000,   2.06604,   1.13742,   1.11771
   1.20000,   0.70000,   0.20000,   2.81166,   1.09655,   1.08638
   1.00000,   0.70000,   0.20000,   2.48885,   1.18040,   1.15995
