a/c,a/t,c/b,phi,F,Mg
   0.80000,   0.30000,   0.20000,   1.56176,   1.09608,   1.08796
   0.80000,   0.40000,   0.20000,   1.57754,   1.12021,   1.10914
   0.80000,   0.50000,   0.20000,   1.56538,   1.14783,   1.13365
   0.80000,   0.60000,   0.20000,   1.56628,   1.17689,   1.15942
   0.80000,   0.70000,   0.20000,   1.57473,   1.20483,   1.18396
   0.80000,   0.80000,   0.20000,   1.57423,   1.22865,   1.20432
   0.90000,   0.20000,   0.20000,   1.58561,   1.06478,   1.05953
   0.90000,   0.30000,   0.20000,   1.58094,   1.08004,   1.07204
   0.90000,   0.40000,   0.20000,   1.57850,   1.09920,   1.08834
   0.90000,   0.50000,   0.20000,   1.57701,   1.12106,   1.10720
   0.90000,   0.60000,   0.20000,   1.56570,   1.14404,   1.12706
   0.90000,   0.70000,   0.20000,   1.57517,   1.16620,   1.14600
   0.90000,   0.80000,   0.20000,   1.57465,   1.18523,   1.16176
   1.00000,   0.20000,   0.20000,   1.55435,   1.05310,   1.04790
   1.00000,   0.30000,   0.20000,   1.58235,   1.06519,   1.05729
   1.00000,   0.40000,   0.20000,   1.56221,   1.08023,   1.06955
   1.00000,   0.50000,   0.20000,   1.57757,   1.09735,   1.08379
   1.00000,   0.60000,   0.20000,   1.58814,   1.11541,   1.09885
   1.00000,   0.70000,   0.20000,   1.57571,   1.13298,   1.11335
   1.00000,   0.80000,   0.20000,   1.57507,   1.14837,   1.12562
