nan nan 0.000000000000000000e+00 1.006016437644696726e+00 nan nan nan
2.126689314369999834e-03 9.805256329756917300e-01 2.155172413793103418e-03 1.003900169282637922e+00 2.126689314369999834e-03 9.805256329756917300e-01 -2.999830414549999880e-01
6.381317959199999876e-03 1.008169920632852712e+00 4.310344827586206837e-03 1.001785600593305015e+00 6.381317959199999876e-03 1.008169920632852712e+00 -2.999312408470000135e-01
1.063835751780000012e-02 1.015214908673410799e+00 6.465517241379311122e-03 9.996729052067419019e-01 1.063835751780000012e-02 1.015214908673410799e+00 -2.998435758490000103e-01
1.489763139050000011e-02 1.016079416463373963e+00 8.620689655172413673e-03 9.975622538612927137e-01 1.489763139050000011e-02 1.016079416463373963e+00 -2.997198517629999781e-01
1.915896630210000076e-02 1.014677267645048175e+00 1.077586206896551796e-02 9.954538143811091366e-01 1.915896630210000076e-02 1.014677267645048175e+00 -2.995598738870000055e-01
2.342219240160000118e-02 1.012267845580902215e+00 1.293103448275862224e-02 9.933477516550937025e-01 2.342219240160000118e-02 1.012267845580902215e+00 -2.993634475210000256e-01
2.768714336349999833e-02 1.009338285812979352e+00 1.508620689655172306e-02 9.912442276172742650e-01 2.768714336349999833e-02 1.009338285812979352e+00 -2.991303779630000159e-01
3.195365649009999920e-02 1.005913902448967390e+00 1.724137931034482735e-02 9.891434012286112187e-01 3.195365649009999920e-02 1.005913902448967390e+00 -2.988604705130000205e-01
3.622157281490000214e-02 1.001985649023731550e+00 1.939655172413793163e-02 9.870454284602397932e-01 3.622157281490000214e-02 1.001985649023731550e+00 -2.985535304679999835e-01
4.049073720739999882e-02 9.977136309886340815e-01 2.155172413793103592e-02 9.849504622781394270e-01 4.049073720739999882e-02 9.977136309886340815e-01 -2.982093631289999824e-01
4.476099847909999901e-02 9.935704847709542209e-01 2.370689655172414020e-02 9.828586526292359959e-01 4.476099847909999901e-02 9.935704847709542209e-01 -2.978277737919999835e-01
