a/c,a/t,c/b,phi,F,Mg
0.2,0.15143,0.2,2.51327,0.91809,1.17143
0.2,0.15143,0.2,2.60303,0.87093,1.1798
0.2,0.15143,0.2,2.69279,0.81882,1.19014
0.2,0.15143,0.2,2.78255,0.76168,1.2026
0.2,0.15143,0.2,2.87231,0.70034,1.21726
0.2,0.15143,0.2,2.96207,0.63858,1.23417
0.2,0.15143,0.2,3.05183,0.58795,1.2533
0.2,0.15143,0.2,3.14159,0.57215,1.27458
0.2,0.17714,0.2,0,0.58101,1.29349
0.2,0.17714,0.2,0.08976,0.59681,1.27136
0.2,0.17714,0.2,0.17952,0.64794,1.25146
0.2,0.17714,0.2,0.26928,0.71036,1.23388
0.2,0.17714,0.2,0.35904,0.77233,1.21864
0.2,0.17714,0.2,0.4488,0.83004,1.20569
0.2,0.17714,0.2,0.53856,0.88266,1.19493
0.2,0.17714,0.2,0.62832,0.93028,1.18623
0.2,0.17714,0.2,0.71808,0.9732,1.17939
0.2,0.17714,0.2,0.80784,1.0117,1.1742
0.2,0.17714,0.2,0.8976,1.046,1.17042
0.2,0.17714,0.2,0.98736,1.07618,1.16781
0.2,0.17714,0.2,1.07712,1.10226,1.16612
0.2,0.17714,0.2,1.16688,1.1242,1.16511
0.2,0.17714,0.2,1.25664,1.14192,1.16458
0.2,0.17714,0.2,1.3464,1.15532,1.16435
0.2,0.17714,0.2,1.43616,1.16431,1.16428
0.2,0.17714,0.2,1.52592,1.16882,1.16427
0.2,0.17714,0.2,1.61568,1.16882,1.16427
0.2,0.17714,0.2,1.70544,1.16431,1.16428
0.2,0.17714,0.2,1.7952,1.15532,1.16435
0.2,0.17714,0.2,1.88496,1.14192,1.16458
0.2,0.17714,0.2,1.97472,1.1242,1.16511
0.2,0.17714,0.2,2.06448,1.10226,1.16612
0.2,0.17714,0.2,2.15423,1.07618,1.16781
0.2,0.17714,0.2,2.24399,1.046,1.17042
0.2,0.17714,0.2,2.33375,1.0117,1.1742
0.2,0.17714,0.2,2.42351,0.9732,1.17939
0.2,0.17714,0.2,2.51327,0.93028,1.18623
0.2,0.17714,0.2,2.60303,0.88266,1.19493
0.2,0.17714,0.2,2.69279,0.83004,1.20569
0.2,0.17714,0.2,2.78255,0.77233,1.21864
0.2,0.17714,0.2,2.87231,0.71036,1.23388
0.2,0.17714,0.2,2.96207,0.64794,1.25146
0.2,0.17714,0.2,3.05183,0.59681,1.27136
0.2,0.17714,0.2,3.14159,0.58101,1.29349
0.2,0.20286,0.2,0,0.5912,1.31534
0.2,0.20286,0.2,0.08976,0.60698,1.29221
0.2,0.20286,0.2,0.17952,0.65869,1.27142
0.2,0.20286,0.2,0.26928,0.72185,1.25305
0.2,0.20286,0.2,0.35904,0.78454,1.23712
0.2,0.20286,0.2,0.4488,0.8429,1.22358
0.2,0.20286,0.2,0.53856,0.8961,1.21234
0.2,0.20286,0.2,0.62832,0.94423,1.20325
0.2,0.20286,0.2,0.71808,0.98762,1.19611
0.2,0.20286,0.2,0.80784,1.02656,1.19068
0.2,0.20286,0.2,0.8976,1.06125,1.18673
0.2,0.20286,0.2,0.98736,1.0918,1.184
0.2,0.20286,0.2,1.07712,1.11821,1.18223
0.2,0.20286,0.2,1.16688,1.14043,1.18118
0.2,0.20286,0.2,1.25664,1.15839,1.18063
0.2,0.20286,0.2,1.3464,1.17198,1.18039
0.2,0.20286,0.2,1.43616,1.1811,1.18032
0.2,0.20286,0.2,1.52592,1.18568,1.18031
0.2,0.20286,0.2,1.61568,1.18568,1.18031
0.2,0.20286,0.2,1.70544,1.1811,1.18032
0.2,0.20286,0.2,1.7952,1.17198,1.18039
0.2,0.20286,0.2,1.88496,1.15839,1.18063
0.2,0.20286,0.2,1.97472,1.14043,1.18118
0.2,0.20286,0.2,2.06448,1.11821,1.18223
0.2,0.20286,0.2,2.15423,1.0918,1.184
0.2,0.20286,0.2,2.24399,1.06125,1.18673
0.2,0.20286,0.2,2.33375,1.02656,1.19068
0.2,0.20286,0.2,2.42351,0.98762,1.19611
0.2,0.20286,0.2,2.51327,0.94423,1.20325
0.2,0.20286,0.2,2.60303,0.8961,1.21234
0.2,0.20286,0.2,2.69279,0.8429,1.22358
0.2,0.20286,0.2,2.78255,0.78454,1.23712
0.2,0.20286,0.2,2.87231,0.72185,1.25305
0.2,0.20286,0.2,2.96207,0.65869,1.27142
0.2,0.20286,0.2,3.05183,0.60698,1.29221
0.2,0.20286,0.2,3.14159,0.5912,1.31534
0.2,0.22857,0.2,0,0.60272,1.34012
0.2,0.22857,0.2,0.08976,0.61848,1.31584
0.2,0.22857,0.2,0.17952,0.67083,1.29401
0.2,0.22857,0.2,0.26928,0.73481,1.27473
0.2,0.22857,0.2,0.35904,0.7983,1.258
0.2,0.22857,0.2,0.4488,0.85737,1.2438
0.2,0.22857,0.2,0.53856,0.91121,1.232
0.2,0.22857,0.2,0.62832,0.95991,1.22245
0.2,0.22857,0.2,0.71808,1.00382,1.21495
0.2,0.22857,0.2,0.80784,1.04324,1.20926
0.2,0.22857,0.2,0.8976,1.07838,1.20511
0.2,0.22857,0.2,0.98736,1.10933,1.20225
