a/c,a/t,c/b,phi,F,Mg
0.35,0.7,0.1,0.14355,1.16802,1.89969
1.0,0.4,0.2,1.49363,1.0745,1.06388
1.0,0.3,0.15,0.28877,1.13773,1.13299
0.4,0.4,0.01,1.65249,1.20855,1.21022
0.6,0.2,0.05,0.94758,1.02886,1.09376
0.45,0.5,0.2,2.86618,1.00576,1.3891
1.7,0.3,0.1,0.28974,0.82557,0.83542
1.4,0.2,0.2,2.09204,0.78944,0.88115
1.8,0.3,0.1,2.70836,0.76642,0.79026
0.45,0.8,0.1,2.39198,1.31827,1.50788
0.5,0.5,0.15,0.05508,1.06723,1.49542
0.65,0.3,0.2,1.68158,1.10339,1.09715
0.2,0.7,0.1,1.65269,1.80742,1.80251
1.3,0.2,0.05,1.95885,0.81197,0.90396
0.65,0.3,0.15,0.27301,0.99209,1.19673
2.0,0.8,0.05,2.8464,0.7831,0.79506
1.4,0.7,0.2,1.3455,0.77511,0.89075
0.45,0.4,0.3,1.18243,1.17198,1.18118
0.25,0.5,0.1,2.5399,1.12575,1.44597
0.25,0.2,0.3,2.08643,1.07877,1.13804
1.4,0.4,0.15,1.79353,0.75492,0.87816
1.2,0.2,0.01,2.70292,0.9689,0.98272
1.9,0.6,0.1,1.8027,0.55721,0.7409
1.0,0.6,0.2,0.44438,1.20582,1.18792
2.0,0.5,0.1,1.36024,0.52926,0.72356
0.45,0.3,0.01,0.08038,0.89702,1.32882
1.0,0.3,0.2,2.25192,1.07672,1.06874
0.65,0.8,0.05,2.10118,1.21262,1.26052
0.8,0.2,0.15,2.85094,1.02772,1.13297
0.6,0.3,0.15,1.03253,1.06686,1.11247
0.65,0.7,0.01,2.69781,1.17548,1.37829
1.3,0.4,0.01,1.19326,0.81852,0.91256
0.35,0.7,0.15,2.5379,1.28673,1.59698
1.4,0.7,0.01,1.64696,0.74645,0.88195
0.55,0.5,0.15,0.76315,1.10866,1.23297
0.3,0.2,0.15,1.33843,1.11795,1.12872
0.8,0.2,0.15,1.80161,1.05545,1.05754
0.65,0.2,0.1,2.91456,0.97348,1.18594
1.0,0.8,0.05,0.74669,1.18023,1.17877
1.2,0.7,0.1,0.15074,1.16517,1.16214
0.25,0.2,0.3,1.18523,1.10893,1.13629
0.7,0.4,0.15,0.90166,1.07457,1.12858
0.5,0.6,0.05,0.90556,1.20084,1.30503
1.3,0.4,0.1,0.44318,0.94349,0.9597
0.8,0.5,0.05,2.54793,1.0921,1.1716
1.3,0.6,0.15,0.30454,1.02188,1.02288
0.2,0.3,0.01,0.90098,1.107,1.24254
1.6,0.4,0.01,0.14394,0.89976,0.90258
1.6,0.6,0.1,0.14537,0.9381,0.93764
0.3,0.3,0.2,1.18821,1.15571,1.18671
0.4,0.2,0.1,2.10151,1.04925,1.1134
1.8,0.3,0.01,2.55724,0.73021,0.77462
1.2,0.3,0.1,1.50231,0.86725,0.94778
1.1,0.6,0.2,0.60189,1.0867,1.086
0.4,0.7,0.3,1.04817,1.38882,1.41517
0.4,0.6,0.01,1.49183,1.3336,1.3353
0.5,0.6,0.01,0.58706,1.12971,1.35711
0.7,0.2,0.15,0.14624,0.99208,1.17602
1.6,0.6,0.1,0.45391,0.84677,0.87033
0.8,0.6,0.2,0.01187,1.28058,1.41045
1.9,0.7,0.01,2.54922,0.72649,0.77435
0.3,0.5,0.15,1.19494,1.33306,1.3678
2.0,0.5,0.2,2.84859,0.77558,0.77846
0.5,0.2,0.1,1.08311,1.0523,1.09936
0.55,0.7,0.15,0.89576,1.2344,1.32353
0.65,0.5,0.05,0.44937,1.07046,1.25275
0.9,0.3,0.2,0.01231,1.15586,1.20934
1.1,0.5,0.1,2.54948,1.05357,1.06501
0.6,0.8,0.1,2.9965,1.30705,1.66381
1.4,0.2,0.1,2.09204,0.78002,0.87388
0.3,0.2,0.1,0.88547,1.01338,1.13361
1.5,0.4,0.01,0.45621,0.85422,0.87891
0.9,0.5,0.05,0.60653,1.10487,1.14256
0.3,0.3,0.2,0.89126,1.07582,1.1936
1.5,0.6,0.2,2.40183,0.83058,0.87999
0.45,0.5,0.01,1.79803,1.22896,1.24168
0.3,0.8,0.2,0.30409,1.29438,1.9713
1.3,0.7,0.15,1.04954,0.86906,0.94325
0.35,0.6,0.01,2.54614,1.17617,1.48024
1.9,0.2,0.2,0.15329,0.82333,0.82275
1.9,0.6,0.01,1.8027,0.55534,0.74113
1.2,0.6,0.2,2.251,0.95961,0.99488
